# 
#
# USGS Parameter Code Definitions File
#
# Column Definitions
#  parameter_cd  - Parameter Code
#  parameter_group_nm  - Group Name
#  parameter_nm  - Parameter Name/Description
#  casrn  - CASRN
#  srsname  - SRSName
#  parameter_units  - Parameter Unit
#
#
# Date Retrieved: 2017-06-14 13:33:26 EDT
#
parameter_cd	parameter_group_nm	parameter_nm	casrn	srsname	parameter_units
85562	Stable Isotopes	Helium-4 error, water, unfiltered, cubic centimeters per gram at standard temperature and pressure			cm3/g STP
85569	Stable Isotopes	Helium-3/helium-4 error, water, unfiltered, ratio	14762-55-1		None
85600	Stable Isotopes	Neon-20, water, unfiltered, cubic centimeters per gram at standard temperature and pressure			cm3/g @STP
85601	Stable Isotopes	Neon-20 error, water, unfiltered, cubic centimeters per gram at standard temperature and pressure			cm3/g @STP
85602	Stable Isotopes	Neon-22, water, unfiltered, cubic centimeters per gram at standard temperature and pressure			cm3/g @STP
85603	Stable Isotopes	Neon-22 error, water, unfiltered, cubic centimeters per gram at standard temperature and pressure			cm3/g @STP
00496	Sediment	Loss on ignition, bed sediment, dry weight, milligrams per kilogram			mg/kg
04065	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 4 millimeters		Sediment	%
04122	Sediment	Bedload sediment discharge, daily average, per unit width of river, composite samples, short tons per day per foot of width		Sediment	ton/d/ft
46462	Sediment	Bed sediment, dry sieved, sieve diameter, percent smaller than 0.044 millimeters		Sediment	%
46463	Sediment	Bed sediment, sieve diameter, percent smaller than 0.71 millimeters		Sediment	%
46464	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 0.044 millimeters		Sediment	%
46465	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 0.088 millimeters		Sediment	%
46466	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 0.177 millimeters		Sediment	%
46467	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 0.35 millimeters		Sediment	%
46468	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 0.71 millimeters		Sediment	%
46469	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 1.41 millimeters		Sediment	%
46470	Sediment	Bedload sediment, dry sieved, sieve diameter, percent smaller than 2.83 millimeters		Sediment	%
49283	Sediment	Bed sediment, wet sieved (native water), field, percent smaller than 0.002 millimeters		Sediment	%
49284	Sediment	Bed sediment, wet sieved (native water), field, percent smaller than 0.008 millimeters		Sediment	%
49285	Sediment	Bed sediment, wet sieved (native water), field, percent smaller than 0.016 millimeters		Sediment	%
49286	Sediment	Bed sediment, wet sieved (native water), field, percent smaller than 0.031 millimeters		Sediment	%
50279	Sediment	Suspended sediment concentration, flow-through centrifuge, milligrams per liter		Sediment	mg/l
51283	Sediment	Loss on ignition (LOI), bedload sediment, dry weight, milligrams per kilogram			mg/kg
64177	Sediment	Bed sediment, dry weight, percent of wet weight		Sediment	%
64178	Sediment	Loss on ignition, bed sediment, percent			%
69000	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 4 millimeters		Sediment	%
69001	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 3.35 millimeters		Sediment	%
69002	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 2.8 millimeters		Sediment	%
69003	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 2.36 millimeters		Sediment	%
69004	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 1.7 millimeters		Sediment	%
69005	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 1.4 millimeters		Sediment	%
69006	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 1.18 millimeters		Sediment	%
69007	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.85 millimeters		Sediment	%
69008	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.71 millimeters		Sediment	%
69009	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.6 millimeters		Sediment	%
69010	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.425 millimeters		Sediment	%
69011	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.3 millimeters		Sediment	%
69012	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.212 millimeters		Sediment	%
69013	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.15 millimeters		Sediment	%
69014	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.106 millimeters		Sediment	%
69015	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.075 millimeters		Sediment	%
69016	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.053 millimeters		Sediment	%
69017	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.0425 millimeters		Sediment	%
69018	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.038 millimeters		Sediment	%
69019	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.032 millimeters		Sediment	%
69020	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.025 millimeters		Sediment	%
69021	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.024 millimeters		Sediment	%
69022	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.02 millimeters		Sediment	%
69023	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.012 millimeters		Sediment	%
69024	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.006 millimeters		Sediment	%
69025	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.003 millimeters		Sediment	%
69026	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.0015 millimeters		Sediment	%
69027	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.001 millimeters		Sediment	%
69028	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.00075 millimeters		Sediment	%
69029	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.0005 millimeters		Sediment	%
69030	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.00038 millimeters		Sediment	%
69031	Sediment	Bed sediment, fall diameter (deionized water), percent smaller than 0.00025 millimeters		Sediment	%
69032	Sediment	Bed sediment, sieve diameter, percent smaller than 2048 millimeters		Sediment	%
69033	Sediment	Bed sediment, sieve diameter, percent smaller than 1536 millimeters		Sediment	%
69034	Sediment	Bed sediment, sieve diameter, percent smaller than 1024 millimeters		Sediment	%
69035	Sediment	Bed sediment, sieve diameter, percent smaller than 768 millimeters		Sediment	%
69036	Sediment	Bed sediment, sieve diameter, percent smaller than 512 millimeters		Sediment	%
69037	Sediment	Bed sediment, sieve diameter, percent smaller than 384 millimeters		Sediment	%
69038	Sediment	Bed sediment, sieve diameter, percent smaller than 256 millimeters		Sediment	%
69039	Sediment	Bed sediment, sieve diameter, percent smaller than 192 millimeters		Sediment	%
69040	Sediment	Bed sediment, sieve diameter, percent smaller than 125 millimeters		Sediment	%
69041	Sediment	Bed sediment, sieve diameter, percent smaller than 106 millimeters		Sediment	%
69042	Sediment	Bed sediment, sieve diameter, percent smaller than 100 millimeters		Sediment	%
69043	Sediment	Bed sediment, sieve diameter, percent smaller than 96 millimeters		Sediment	%
69044	Sediment	Bed sediment, sieve diameter, percent smaller than 90 millimeters		Sediment	%
69045	Sediment	Bed sediment, sieve diameter, percent smaller than 75 millimeters		Sediment	%
69046	Sediment	Bed sediment, sieve diameter, percent smaller than 63 millimeters		Sediment	%
69047	Sediment	Bed sediment, sieve diameter, percent smaller than 53 millimeters		Sediment	%
69048	Sediment	Bed sediment, sieve diameter, percent smaller than 50 millimeters		Sediment	%
69049	Sediment	Bed sediment, sieve diameter, percent smaller than 45 millimeters		Sediment	%
69050	Sediment	Bed sediment, sieve diameter, percent smaller than 37.5 millimeters		Sediment	%
69051	Sediment	Bed sediment, sieve diameter, percent smaller than 26.5 millimeters		Sediment	%
69052	Sediment	Bed sediment, sieve diameter, percent smaller than 25 millimeters		Sediment	%
69053	Sediment	Bed sediment, sieve diameter, percent smaller than 22.4 millimeters		Sediment	%
69054	Sediment	Bed sediment, sieve diameter, percent smaller than 19 millimeters		Sediment	%
69055	Sediment	Bed sediment, sieve diameter, percent smaller than 13.2 millimeters		Sediment	%
69056	Sediment	Bed sediment, sieve diameter, percent smaller than 12.5 millimeters		Sediment	%
69057	Sediment	Bed sediment, sieve diameter, percent smaller than 11.2 millimeters		Sediment	%
69058	Sediment	Bed sediment, sieve diameter, percent smaller than 9.5 millimeters		Sediment	%
69059	Sediment	Bed sediment, sieve diameter, percent smaller than 7.5 millimeters		Sediment	%
69060	Sediment	Bed sediment, sieve diameter, percent smaller than 6.3 millimeters		Sediment	%
69061	Sediment	Bed sediment, sieve diameter, percent smaller than 5.6 millimeters		Sediment	%
69062	Sediment	Bed sediment, sieve diameter, percent smaller than 4.75 millimeters		Sediment	%
69063	Sediment	Bed sediment, sieve diameter, percent smaller than 3.35 millimeters		Sediment	%
69064	Sediment	Bed sediment, sieve diameter, percent smaller than 2.8 millimeters		Sediment	%
69065	Sediment	Bed sediment, sieve diameter, percent smaller than 2.36 millimeters		Sediment	%
69066	Sediment	Bed sediment, sieve diameter, percent smaller than 1.7 millimeters		Sediment	%
69067	Sediment	Bed sediment, sieve diameter, percent smaller than 1.18 millimeters		Sediment	%
69068	Sediment	Bed sediment, sieve diameter, percent smaller than 0.85 millimeters		Sediment	%
69069	Sediment	Bed sediment, sieve diameter, percent smaller than 0.6 millimeters		Sediment	%
69070	Sediment	Bed sediment, sieve diameter, percent smaller than 0.425 millimeters		Sediment	%
69071	Sediment	Bed sediment, sieve diameter, percent smaller than 0.3 millimeters		Sediment	%
69072	Sediment	Bed sediment, sieve diameter, percent smaller than 0.212 millimeters		Sediment	%
69073	Sediment	Bed sediment, sieve diameter, percent smaller than 0.15 millimeters		Sediment	%
69074	Sediment	Bed sediment, sieve diameter, percent smaller than 0.106 millimeters		Sediment	%
69075	Sediment	Bed sediment, sieve diameter, percent smaller than 0.075 millimeters		Sediment	%
69076	Sediment	Bed sediment, sieve diameter, percent smaller than 0.053 millimeters		Sediment	%
69077	Sediment	Bed sediment, sieve diameter, percent smaller than 0.045 millimeters		Sediment	%
69078	Sediment	Bed sediment, sieve diameter, percent smaller than 0.038 millimeters		Sediment	%
69079	Sediment	Bed sediment, sieve diameter, percent smaller than 0.032 millimeters		Sediment	%
69080	Sediment	Bed sediment, direct measurement, percent smaller than 2048 millimeters		Sediment	%
69081	Sediment	Bed sediment, direct measurement, percent smaller than 1536 millimeters		Sediment	%
69082	Sediment	Bed sediment, direct measurement, percent smaller than 1024 millimeters		Sediment	%
69083	Sediment	Bed sediment, direct measurement, percent smaller than 768 millimeters		Sediment	%
69084	Sediment	Bed sediment, direct measurement, percent smaller than 512 millimeters		Sediment	%
69085	Sediment	Bed sediment, direct measurement, percent smaller than 384 millimeters		Sediment	%
69086	Sediment	Bed sediment, direct measurement, percent smaller than 256 millimeters		Sediment	%
69087	Sediment	Bed sediment, direct measurement, percent smaller than 192 millimeters		Sediment	%
69088	Sediment	Bed sediment, direct measurement, percent smaller than 128 millimeters		Sediment	%
69089	Sediment	Bed sediment, direct measurement, percent smaller than 125 millimeters		Sediment	%
69090	Sediment	Bed sediment, direct measurement, percent smaller than 106 millimeters		Sediment	%
69091	Sediment	Bed sediment, direct measurement, percent smaller than 100 millimeters		Sediment	%
69092	Sediment	Bed sediment, direct measurement, percent smaller than 96 millimeters		Sediment	%
69093	Sediment	Bed sediment, direct measurement, percent smaller than 90 millimeters		Sediment	%
69094	Sediment	Bed sediment, direct measurement, percent smaller than 75 millimeters		Sediment	%
69095	Sediment	Bed sediment, direct measurement, percent smaller than 64 millimeters		Sediment	%
69096	Sediment	Bed sediment, direct measurement, percent smaller than 63 millimeters		Sediment	%
69097	Sediment	Bed sediment, direct measurement, percent smaller than 53 millimeters		Sediment	%
69098	Sediment	Bed sediment, direct measurement, percent smaller than 50 millimeters		Sediment	%
69099	Sediment	Bed sediment, direct measurement, percent smaller than 45 millimeters		Sediment	%
69100	Sediment	Bed sediment, direct measurement, percent smaller than 37.5 millimeters		Sediment	%
69101	Sediment	Bed sediment, direct measurement, percent smaller than 31.5 millimeters		Sediment	%
69102	Sediment	Bed sediment, direct measurement, percent smaller than 26.5 millimeters		Sediment	%
69103	Sediment	Bed sediment, direct measurement, percent smaller than 25 millimeters		Sediment	%
69104	Sediment	Bed sediment, direct measurement, percent smaller than 22.4 millimeters		Sediment	%
69105	Sediment	Bed sediment, direct measurement, percent smaller than 19 millimeters		Sediment	%
69106	Sediment	Bed sediment, direct measurement, percent smaller than 16 millimeters		Sediment	%
69107	Sediment	Bed sediment, direct measurement, percent smaller than 13.2 millimeters		Sediment	%
69108	Sediment	Bed sediment, direct measurement, percent smaller than 12.5 millimeters		Sediment	%
69109	Sediment	Bed sediment, direct measurement, percent smaller than 11.2 millimeters		Sediment	%
69110	Sediment	Bed sediment, direct measurement, percent smaller than 9.5 millimeters		Sediment	%
69111	Sediment	Bed sediment, direct measurement, percent smaller than 8 millimeters		Sediment	%
69112	Sediment	Bed sediment, direct measurement, percent smaller than 7.5 millimeters		Sediment	%
69113	Sediment	Bed sediment, direct measurement, percent smaller than 6.3 millimeters		Sediment	%
69114	Sediment	Bed sediment, direct measurement, percent smaller than 5.6 millimeters		Sediment	%
69115	Sediment	Bed sediment, direct measurement, percent smaller than 4.75 millimeters		Sediment	%
69116	Sediment	Bed sediment, direct measurement, percent smaller than 4 millimeters		Sediment	%
69117	Sediment	Bed sediment, direct measurement, percent smaller than 3.35 millimeters		Sediment	%
69118	Sediment	Bed sediment, direct measurement, percent smaller than 2.8 millimeters		Sediment	%
69119	Sediment	Bed sediment, direct measurement, percent smaller than 2.36 millimeters		Sediment	%
69120	Sediment	Bed sediment, direct measurement, percent smaller than 2 millimeters		Sediment	%
69121	Sediment	Bed sediment, direct measurement, percent smaller than 1.7 millimeters		Sediment	%
69122	Sediment	Bed sediment, direct measurement, percent smaller than 1.4 millimeters		Sediment	%
69123	Sediment	Bed sediment, direct measurement, percent smaller than 1.18 millimeters		Sediment	%
69124	Sediment	Bed sediment, direct measurement, percent smaller than 1 millimeter		Sediment	%
69125	Sediment	Bed sediment, direct measurement, percent smaller than 0.85 millimeters		Sediment	%
69126	Sediment	Bed sediment, direct measurement, percent smaller than 0.71 millimeters		Sediment	%
69127	Sediment	Bed sediment, direct measurement, percent smaller than 0.6 millimeters		Sediment	%
69128	Sediment	Bed sediment, direct measurement, percent smaller than 0.5 millimeters		Sediment	%
69129	Sediment	Bed sediment, direct measurement, percent smaller than 0.425 millimeters		Sediment	%
69130	Sediment	Bed sediment, direct measurement, percent smaller than 0.355 millimeters		Sediment	%
69131	Sediment	Bed sediment, direct measurement, percent smaller than 0.3 millimeters		Sediment	%
69132	Sediment	Bed sediment, direct measurement, percent smaller than 0.25 millimeters		Sediment	%
69133	Sediment	Bed sediment, direct measurement, percent smaller than 0.212 millimeters		Sediment	%
69134	Sediment	Bed sediment, direct measurement, percent smaller than 0.18 millimeters		Sediment	%
69135	Sediment	Bed sediment, direct measurement, percent smaller than 0.15 millimeters		Sediment	%
69136	Sediment	Bed sediment, direct measurement, percent smaller than 0.125 millimeters		Sediment	%
69137	Sediment	Bed sediment, direct measurement, percent smaller than 0.106 millimeters		Sediment	%
69138	Sediment	Bed sediment, direct measurement, percent smaller than 0.09 millimeters		Sediment	%
69139	Sediment	Bed sediment, direct measurement, percent smaller than 0.075 millimeters		Sediment	%
69140	Sediment	Bed sediment, direct measurement, percent smaller than 0.063 millimeters		Sediment	%
69141	Sediment	Bed sediment, direct measurement, percent smaller than 0.053 millimeters		Sediment	%
69142	Sediment	Bed sediment, direct measurement, percent smaller than 0.045 millimeters		Sediment	%
69143	Sediment	Bed sediment, direct measurement, percent smaller than 0.038 millimeters		Sediment	%
69144	Sediment	Bed sediment, direct measurement, percent smaller than 0.032 millimeters		Sediment	%
69145	Sediment	Bed sediment, direct measurement, percent smaller than 0.031 millimeters		Sediment	%
69146	Sediment	Bed sediment, direct measurement, percent smaller than 0.025 millimeters		Sediment	%
69147	Sediment	Bed sediment, direct measurement, percent smaller than 0.024 millimeters		Sediment	%
69148	Sediment	Bed sediment, direct measurement, percent smaller than 0.02 millimeters		Sediment	%
69149	Sediment	Bed sediment, direct measurement, percent smaller than 0.016 millimeters		Sediment	%
69150	Sediment	Bed sediment, direct measurement, percent smaller than 0.012 millimeters		Sediment	%
69151	Sediment	Bed sediment, direct measurement, percent smaller than 0.008 millimeters		Sediment	%
69152	Sediment	Bed sediment, direct measurement, percent smaller than 0.006 millimeters		Sediment	%
69153	Sediment	Bed sediment, direct measurement, percent smaller than 0.004 millimeters		Sediment	%
69154	Sediment	Bedload sediment, sieve diameter, percent smaller than 2048 millimeters		Sediment	%
69155	Sediment	Bedload sediment, sieve diameter, percent smaller than 1536 millimeters		Sediment	%
69156	Sediment	Bedload sediment, sieve diameter, percent smaller than 1024 millimeters		Sediment	%
69157	Sediment	Bedload sediment, sieve diameter, percent smaller than 768 millimeters		Sediment	%
69158	Sediment	Bedload sediment, sieve diameter, percent smaller than 512 millimeters		Sediment	%
69159	Sediment	Bedload sediment, sieve diameter, percent smaller than 384 millimeters		Sediment	%
69160	Sediment	Bedload sediment, sieve diameter, percent smaller than 256 millimeters		Sediment	%
69161	Sediment	Bedload sediment, sieve diameter, percent smaller than 192 millimeters		Sediment	%
69162	Sediment	Bedload sediment, sieve diameter, percent smaller than 125 millimeters		Sediment	%
69163	Sediment	Bedload sediment, sieve diameter, percent smaller than 106 millimeters		Sediment	%
69164	Sediment	Bedload sediment, sieve diameter, percent smaller than 100 millimeters		Sediment	%
69165	Sediment	Bedload sediment, sieve diameter, percent smaller than 96 millimeters		Sediment	%
69166	Sediment	Bedload sediment, sieve diameter, percent smaller than 90 millimeters		Sediment	%
69167	Sediment	Bedload sediment, sieve diameter, percent smaller than 63 millimeters		Sediment	%
69168	Sediment	Bedload sediment, sieve diameter, percent smaller than 53 millimeters		Sediment	%
69169	Sediment	Bedload sediment, sieve diameter, percent smaller than 50 millimeters		Sediment	%
69170	Sediment	Bedload sediment, sieve diameter, percent smaller than 45 millimeters		Sediment	%
69171	Sediment	Bedload sediment, sieve diameter, percent smaller than 37.5 millimeters		Sediment	%
69172	Sediment	Bedload sediment, sieve diameter, percent smaller than 26.5 millimeters		Sediment	%
69173	Sediment	Bedload sediment, sieve diameter, percent smaller than 25 millimeters		Sediment	%
69174	Sediment	Bedload sediment, sieve diameter, percent smaller than 22.4 millimeters		Sediment	%
69175	Sediment	Bedload sediment, sieve diameter, percent smaller than 19 millimeters		Sediment	%
69176	Sediment	Bedload sediment, sieve diameter, percent smaller than 13.2 millimeters		Sediment	%
69177	Sediment	Bedload sediment, sieve diameter, percent smaller than 12.5 millimeters		Sediment	%
69178	Sediment	Bedload sediment, sieve diameter, percent smaller than 11.2 millimeters		Sediment	%
69179	Sediment	Bedload sediment, sieve diameter, percent smaller than 9.5 millimeters		Sediment	%
69180	Sediment	Bedload sediment, sieve diameter, percent smaller than 7.5 millimeters		Sediment	%
69181	Sediment	Bedload sediment, sieve diameter, percent smaller than 6.3 millimeters		Sediment	%
69182	Sediment	Bedload sediment, sieve diameter, percent smaller than 5.6 millimeters		Sediment	%
69183	Sediment	Bedload sediment, sieve diameter, percent smaller than 4.75 millimeters		Sediment	%
69184	Sediment	Bedload sediment, sieve diameter, percent smaller than 3.35 millimeters		Sediment	%
69185	Sediment	Bedload sediment, sieve diameter, percent smaller than 2.8 millimeters		Sediment	%
69186	Sediment	Bedload sediment, sieve diameter, percent smaller than 2.36 millimeters		Sediment	%
69187	Sediment	Bedload sediment, sieve diameter, percent smaller than 1.7 millimeters		Sediment	%
69188	Sediment	Bedload sediment, sieve diameter, percent smaller than 1.4 millimeters		Sediment	%
69189	Sediment	Bedload sediment, sieve diameter, percent smaller than 1.18 millimeters		Sediment	%
69190	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.85 millimeters		Sediment	%
69191	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.71 millimeters		Sediment	%
69192	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.6 millimeters		Sediment	%
69193	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.425 millimeters		Sediment	%
69194	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.355 millimeters		Sediment	%
69195	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.3 millimeters		Sediment	%
69196	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.212 millimeters		Sediment	%
69197	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.18 millimeters		Sediment	%
69198	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.15 millimeters		Sediment	%
69199	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.106 millimeters		Sediment	%
69200	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.09 millimeters		Sediment	%
69201	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.075 millimeters		Sediment	%
69202	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.053 millimeters		Sediment	%
69203	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.045 millimeters		Sediment	%
69204	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.038 millimeters		Sediment	%
69205	Sediment	Bedload sediment, sieve diameter, percent smaller than 0.032 millimeters		Sediment	%
69206	Sediment	Bedload sediment, direct measurement, percent smaller than 4 millimeters		Sediment	%
69207	Sediment	Bedload sediment, direct measurement, percent smaller than 3.35 millimeters		Sediment	%
69208	Sediment	Bedload sediment, direct measurement, percent smaller than 2.8 millimeters		Sediment	%
69209	Sediment	Bedload sediment, direct measurement, percent smaller than 2.36 millimeters		Sediment	%
69210	Sediment	Bedload sediment, direct measurement, percent smaller than 2 millimeters		Sediment	%
69211	Sediment	Bedload sediment, direct measurement, percent smaller than 1.7 millimeters		Sediment	%
69212	Sediment	Bedload sediment, direct measurement, percent smaller than 1.4 millimeters		Sediment	%
69213	Sediment	Bedload sediment, direct measurement, percent smaller than 1.18 millimeters		Sediment	%
69214	Sediment	Bedload sediment, direct measurement, percent smaller than 1 millimeter		Sediment	%
69215	Sediment	Bedload sediment, direct measurement, percent smaller than 0.85 millimeters		Sediment	%
69216	Sediment	Bedload sediment, direct measurement, percent smaller than 0.71 millimeters		Sediment	%
69217	Sediment	Bedload sediment, direct measurement, percent smaller than 0.6 millimeters		Sediment	%
69218	Sediment	Bedload sediment, direct measurement, percent smaller than 0.5 millimeters		Sediment	%
69219	Sediment	Bedload sediment, direct measurement, percent smaller than 0.425 millimeters		Sediment	%
69220	Sediment	Bedload sediment, direct measurement, percent smaller than 0.355 millimeters		Sediment	%
69221	Sediment	Bedload sediment, direct measurement, percent smaller than 0.3 millimeters		Sediment	%
69222	Sediment	Bedload sediment, direct measurement, percent smaller than 0.25 millimeters		Sediment	%
69223	Sediment	Bedload sediment, direct measurement, percent smaller than 0.212 millimeters		Sediment	%
69224	Sediment	Bedload sediment, direct measurement, percent smaller than 0.18 millimeters		Sediment	%
69225	Sediment	Bedload sediment, direct measurement, percent smaller than 0.15 millimeters		Sediment	%
69226	Sediment	Bedload sediment, direct measurement, percent smaller than 0.125 millimeters		Sediment	%
69227	Sediment	Bedload sediment, direct measurement, percent smaller than 0.106 millimeters		Sediment	%
69228	Sediment	Bedload sediment, direct measurement, percent smaller than 0.09 millimeters		Sediment	%
69229	Sediment	Bedload sediment, direct measurement, percent smaller than 0.075 millimeters		Sediment	%
69230	Sediment	Bedload sediment, direct measurement, percent smaller than 0.063 millimeters		Sediment	%
69231	Sediment	Bedload sediment, direct measurement, percent smaller than 0.053 millimeters		Sediment	%
69232	Sediment	Bedload sediment, direct measurement, percent smaller than 0.045 millimeters		Sediment	%
69233	Sediment	Bedload sediment, direct measurement, percent smaller than 0.038 millimeters		Sediment	%
69234	Sediment	Bedload sediment, direct measurement, percent smaller than 0.032 millimeters		Sediment	%
69235	Sediment	Bedload sediment, direct measurement, percent smaller than 0.031 millimeters		Sediment	%
69236	Sediment	Bedload sediment, direct measurement, percent smaller than 0.025 millimeters		Sediment	%
69237	Sediment	Bedload sediment, direct measurement, percent smaller than 0.024 millimeters		Sediment	%
69238	Sediment	Bedload sediment, direct measurement, percent smaller than 0.02 millimeters		Sediment	%
69239	Sediment	Bedload sediment, direct measurement, percent smaller than 0.016 millimeters		Sediment	%
69240	Sediment	Bedload sediment, direct measurement, percent smaller than 0.012 millimeters		Sediment	%
69241	Sediment	Bedload sediment, direct measurement, percent smaller than 0.008 millimeters		Sediment	%
69242	Sediment	Bedload sediment, direct measurement, percent smaller than 0.006 millimeters		Sediment	%
69243	Sediment	Bedload sediment, direct measurement, percent smaller than 0.004 millimeters		Sediment	%
69244	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 3.35 millimeters		Suspended sediment concentration (SSC)	%
69245	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 2.8 millimeters		Suspended sediment concentration (SSC)	%
69246	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 2.36 millimeters		Suspended sediment concentration (SSC)	%
69247	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 1.7 millimeters		Suspended sediment concentration (SSC)	%
69248	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 1.4 millimeters		Suspended sediment concentration (SSC)	%
69249	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 1.18 millimeters		Suspended sediment concentration (SSC)	%
69250	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.85 millimeters		Suspended sediment concentration (SSC)	%
69251	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.71 millimeters		Suspended sediment concentration (SSC)	%
69252	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.6 millimeters		Suspended sediment concentration (SSC)	%
69253	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.425 millimeters		Suspended sediment concentration (SSC)	%
69254	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.35 millimeters		Suspended sediment concentration (SSC)	%
69255	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.3 millimeters		Suspended sediment concentration (SSC)	%
69256	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.212 millimeters		Suspended sediment concentration (SSC)	%
69257	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.18 millimeters		Suspended sediment concentration (SSC)	%
69258	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.15 millimeters		Suspended sediment concentration (SSC)	%
69259	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.106 millimeters		Suspended sediment concentration (SSC)	%
69260	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.088 millimeters		Suspended sediment concentration (SSC)	%
69261	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.075 millimeters		Suspended sediment concentration (SSC)	%
69262	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.053 millimeters		Suspended sediment concentration (SSC)	%
69263	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.045 millimeters		Suspended sediment concentration (SSC)	%
69264	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.038 millimeters		Suspended sediment concentration (SSC)	%
69265	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.032 millimeters		Suspended sediment concentration (SSC)	%
69266	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.025 millimeters		Suspended sediment concentration (SSC)	%
69267	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.024 millimeters		Suspended sediment concentration (SSC)	%
69268	Sediment	Suspended sediment, fall diameter (deionized water), percent smaller than 0.02 millimeters		Suspended sediment concentration (SSC)	%
